,NC1 Log2,NC2 Log2,NC3 Log2,NC4 Log2,GC1 Log2,GC2 Log2,GC3 Log2,GC4 Log2,PL1 Log2,PL2 Log2,PL3 Log2,PL4 Log2,Pattern,Ribosome,Spliceosome,"Valine, leucine and isoleucine degradation",Oxidative phosphorylation,Proteasome,Protein processing in endoplasmic reticulum,Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Endocytosis,Fatty acid degradation,Fatty acid metabolism,RNA transport,Pyruvate metabolism,Fructose and mannose metabolism,Regulation of actin cytoskeleton,Phagosome,Complement and coagulation cascades,Arginine and proline metabolism,DNA Replication,PPAR signaling pathway,ECM-receptor interaction,Focal adhesion,Pentose phosphate pathway,RNA degradation,Mismatch repair,Stomach specific,Mitochondrion,Cytoplasm,Extracellular exosome,Membrane,Nucleus,Endoplasmic reticulum,Golgi apparatus
3469,16.853565003434277,16.79742892234505,16.675667496505643,16.78218609075173,16.748019126334423,16.742132313397022,16.845971888019047,16.771588549241745,16.843640450980075,16.654915229137977,16.72254718169519,16.84350335038514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3470,17.387683282032118,17.398820114281133,17.109260281103303,17.259135038138506,17.48280275291136,17.00530414762183,17.590712710665116,17.25038157646731,17.523342372866196,16.87158578947001,17.326784008298105,17.207660890496157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3471,14.716372343986016,14.86000662176652,14.877610416628759,14.819431669986107,14.772683202655786,15.127064480722392,15.065869361142655,14.822855073374903,14.85715285694793,15.39033541861043,14.944915870986737,15.259471431273472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3472,17.83731205316051,17.880407926663885,17.841299324245107,17.883457860568395,17.936022783714453,17.888061043066337,17.94506505811188,17.915271448359608,17.90298545263289,17.97031799291737,17.932661310945754,17.898636676968025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3473,16.175008564170874,16.30228648495343,16.193578495495853,16.204164032957628,16.434829870398897,16.218948298673162,16.308847680658758,16.305946617387892,16.509074628484434,16.257565429536818,16.45236155728859,16.440909918542967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3474,16.102547340954892,16.241671378796557,16.220943913445822,16.33306528758331,16.383636254416498,16.226577102363244,16.379934539418986,16.047896058505827,16.333623797065627,16.521218538676678,16.478552167119172,16.347649603118008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3475,16.793789436680164,16.68160750229739,16.730036904504633,16.738919482855657,16.58905892353576,16.311551037828966,16.41351083464946,16.358350038274775,16.646623021701714,16.427112078226642,16.575688647522128,16.642484964589784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3476,13.65837421204439,13.768317716311497,13.507551942558774,13.806485860306886,13.8183665996684,13.751824812734855,13.746572272438664,14.15370451628377,13.772587879196719,13.513279044511947,13.538093662456435,13.421432212899655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3477,13.161326178662417,12.953998636208382,12.841372021200982,13.313220530370346,13.602196361640884,13.797956327327165,13.739416020711356,13.518728588501594,13.155643144143925,13.269147438300857,13.274530985030408,13.277937365916921,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3478,16.05211443339393,16.170809645043786,15.945468456307408,15.964155307142606,15.802564371249076,15.548113890964304,15.642956860351168,15.85721727326893,16.027166989514146,15.35489217109857,15.86713763477221,15.827318365573468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
3479,15.962042699202476,16.003888303499057,15.77239904312641,15.869685038246232,15.851484651541861,15.76324861774861,15.810994415686682,16.13539206170376,15.923601826783734,15.706514602166191,15.776842397444685,15.835018202012694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3480,13.559309310727858,13.453828090030715,13.430330760169177,13.18894695284619,13.895640256742757,13.333601812086142,13.533869383341035,13.821237560441793,13.514552765457362,13.029247534311923,13.445617756650996,13.431629458803565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3481,14.559425913519725,14.780059939593038,14.454172890171657,14.547008208002092,14.939297886344816,14.91686292885875,14.654066490651047,15.411688637902758,14.703835270217485,14.663590801258106,14.615089730285987,14.689344065245226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3482,16.502824655579456,16.65499814222017,16.64701326989088,16.55419295170476,16.592966728441418,16.67543311686683,16.59961486120798,16.648859095719015,16.640022218254146,16.778390553002556,16.69731572444412,16.706283200747233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3483,14.406360514209963,14.481461550220693,14.232770779138043,14.251673658961515,14.316735894928929,13.753514070742494,14.230660768913078,14.33528958899944,14.462683330314668,13.682223671010984,14.248406209860905,14.00257456382933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3484,16.101061773769906,16.22915383168794,15.949813775678617,16.075520545006693,17.166895922518794,16.77114793888055,17.150304408475076,17.019095999902635,16.36027896166082,16.039210734579896,16.168935863922083,16.160669577871886,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
