HH3,VIM,SMA,CD4,CD14,Foxp3,CD31,PDL1,Ki67,CD206,CD68,CD8,CD3,IDO,CD11c,CD163,CD20,CD16,IFNg,HLA.DR,CD11b,CD45,H3K9Ac,Keratin,MastChyTry,Ta,Au,Disease
0.765556042,0.786841059,0,0.660955719,0,0,0.823675603,0,0,0,0,0,0.074149472,0.376551881,0.593321552,0,0,0,0,0.867836021,0.456326749,0.449008883,0.591273495,0,0,0.014510207,0.080455857,0
0.881311759,0.72681465,0,0.30879112,0.605867285,0,0.539543116,0,0,0,0.1251757,0,0,0.313430377,0.308015262,0,0.415527181,0.567745148,0,0.522763878,0,0.696226865,0.79868212,0,0,0.068143911,0.076103814,0
0.746970754,0.670098806,0,0,0.361159404,0,0.479080198,0,0,0,0,0.230909475,0,0.172954367,0,0,0,0,0,0.243128078,0,0.420545229,0.599916809,0,0,0.092670579,0.091798453,0
0.778074,0.344590266,0,0.28567547,0.151106817,0,0.447723308,0,0,0,0,0,0.114287903,0.126612409,0.148949662,0,0,0.177270887,0,0.396777248,0,0.530734007,0.687146762,0,0,0.044423813,0.055839927,0
0.812820339,0.804112774,0,0,0.552644194,0,0.439989357,0.031365963,0,0.546157292,0.164235526,0,0,0.384885994,0.286807881,0,0,0.474952821,0,0.583314805,0,0.573303167,0.72537401,0,0,0.04067872,0.087908585,0
0.875391834,0.683272165,0,0.564652157,0.281571423,0,0.406788491,0,0,0,0,0.01683331,0.555634049,0.253410893,0.265202453,0,0,0.177608191,0,0.508425461,0.116568293,0.651707643,0.800980065,0,0,0.062551071,0.068593742,0
0.869624397,0.710230218,0,0.510609896,0.299465649,0,0.648822314,0,0,0,0.062644941,0,0.391615571,0.260769585,0.219867672,0,0.462194354,0.213453185,0,0.642816576,0,0.650540171,0.704375096,0,0,0.036802771,0.082374672,0
0.91918715,0.683105007,0,0.29071572,0.157547095,0,0.479007742,0,0,0,0,0,0.132559888,0.236388959,0,0,0.237256125,0,0,0.54708294,0,0.643030923,0.798770702,0,0,0.043306143,0.066681005,0
0.857882262,0.796359564,0,0.405938122,0.145019125,0,0.529634659,0,0,0,0.01309909,0.345409496,0,0.332672686,0.297731399,0,0,0,0,0.564809399,0.044338589,0.634289299,0.788542273,0,0,0.085740377,0.074911411,0
0.873949364,0.56310726,0,0.677346638,0.423967519,0,0.516823513,0,0,0,0,0,0.583076067,0.300728065,0.343426458,0,0.07180104,0.400021963,0,0.525773482,0,0.785520863,0.838760235,0,0,0.08189852,0.113655702,0
0.779444573,0.529000811,0,0.092256505,0,0,0.711910052,0,0,0,0,0,0.063129812,0.310747768,0,0,0,0,0,0.400436231,0,0.194609192,0,0,0,0.036513416,0.131774132,0
0.883866577,0.660678475,0,0.653181068,0.390210293,0,0.401798017,0,0.02664715,0,0,0,0.582196805,0.30851459,0.122166383,0,0.139090044,0.198188238,0,0.451850971,0,0.637206243,0.824588772,0,0,0.049395434,0.073612212,0
